title,Links,Average_score,number_of_comments,Feedback
Ральф,http://www.world-art.ru/cinema/cinema.php?id=41866,0,0,
Дитя луны,http://www.world-art.ru/cinema/cinema.php?id=13599,0,0,
Как приручить дракона 2,http://www.world-art.ru/cinema/cinema.php?id=36698,0,0,
Умница Уилл Хантинг,http://www.world-art.ru/cinema/cinema.php?id=4602,0,0,
Волшебная сила искусства,http://www.world-art.ru/cinema/cinema.php?id=17329,0,0,
Дикая планета,http://www.world-art.ru/cinema/cinema.php?id=548,0,0,
Взвод,http://www.world-art.ru/cinema/cinema.php?id=114,0,0,
Призраки бездны: Титаник,http://www.world-art.ru/cinema/cinema.php?id=5989,0,0,
Апокалипсис,http://www.world-art.ru/cinema/cinema.php?id=11023,0,0,
Гамлет,http://www.world-art.ru/cinema/cinema.php?id=8064,0,0,
Отель «Гранд Будапешт»,http://www.world-art.ru/cinema/cinema.php?id=53041,0,0,
Новый мир,http://www.world-art.ru/cinema/cinema.php?id=48046,0,0,
Последний единорог,http://www.world-art.ru/cinema/cinema.php?id=26549,0,0,
Ахиллес и черепаха,http://www.world-art.ru/cinema/cinema.php?id=21039,0,0,
Золотой телёнок,http://www.world-art.ru/cinema/cinema.php?id=12908,0,0,
Выход Дракона,http://www.world-art.ru/cinema/cinema.php?id=9132,0,0,
Русалочка,http://www.world-art.ru/cinema/cinema.php?id=25363,0,0,
Хулиганы,http://www.world-art.ru/cinema/cinema.php?id=7696,0,0,
Девчата,http://www.world-art.ru/cinema/cinema.php?id=3637,0,0,
Иди и смотри,http://www.world-art.ru/cinema/cinema.php?id=14051,0,0,
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,http://www.world-art.ru/cinema/cinema.php?id=38748,0,0,
Осенний марафон,http://www.world-art.ru/cinema/cinema.php?id=4348,0,0,
Дорога домой: Невероятное путешествие,http://www.world-art.ru/cinema/cinema.php?id=14631,0,0,
Рыцарь дорог,http://www.world-art.ru/cinema/cinema.php?id=20485,0,0,
Признание убийцы,http://www.world-art.ru/cinema/cinema.php?id=50415,0,0,
Легенда,http://www.world-art.ru/cinema/cinema.php?id=64726,0,0,
С тобой и без тебя,http://www.world-art.ru/cinema/cinema.php?id=17140,0,0,
Экспресс ужаса,http://www.world-art.ru/cinema/cinema.php?id=8553,0,0,
Любовное настроение,http://www.world-art.ru/cinema/cinema.php?id=12420,0,0,
Любовь и голуби,http://www.world-art.ru/cinema/cinema.php?id=13528,0,0,
Приключения Шерлока Холмса и доктора Ватсона: Смертельная схватка,http://www.world-art.ru/cinema/cinema.php?id=38749,0,0,
Цельнометаллическая оболочка,http://www.world-art.ru/cinema/cinema.php?id=5269,0,0,
Артист,http://www.world-art.ru/cinema/cinema.php?id=38076,0,0,
Синяя весна,http://www.world-art.ru/cinema/cinema.php?id=14492,0,0,
Ледниковый период,http://www.world-art.ru/cinema/cinema.php?id=24882,0,0,
Чтец,http://www.world-art.ru/cinema/cinema.php?id=19731,0,0,
Бешеные псы,http://www.world-art.ru/cinema/cinema.php?id=5545,0,0,
В погоне за счастьем,http://www.world-art.ru/cinema/cinema.php?id=17398,0,0,
Счастливое число Слевина,http://www.world-art.ru/cinema/cinema.php?id=13707,0,0,
Большой солдат,http://www.world-art.ru/cinema/cinema.php?id=25236,0,0,
Джорджино,http://www.world-art.ru/cinema/cinema.php?id=19199,0,0,
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил бомбу",http://www.world-art.ru/cinema/cinema.php?id=5274,0,0,
Барака,http://www.world-art.ru/cinema/cinema.php?id=18883,0,0,
Облачный атлас,http://www.world-art.ru/cinema/cinema.php?id=36691,0,0,
Путь дракона,http://www.world-art.ru/cinema/cinema.php?id=9666,0,0,
Служители зла,http://www.world-art.ru/cinema/cinema.php?id=9379,0,0,
Персеполис,http://www.world-art.ru/cinema/cinema.php?id=553,0,0,
Робин Гуд,http://www.world-art.ru/cinema/cinema.php?id=25189,0,0,
Шоколад,http://www.world-art.ru/cinema/cinema.php?id=68881,0,0,
Золушка,http://www.world-art.ru/cinema/cinema.php?id=49223,0,0,
Энн из Зеленых крыш,http://www.world-art.ru/cinema/cinema.php?id=16699,0,0,
МЭШ,http://www.world-art.ru/cinema/cinema.php?id=18909,0,0,
Кондитерская «Антиква»,http://www.world-art.ru/cinema/cinema.php?id=23774,0,0,
Пропавшая комната,http://www.world-art.ru/cinema/cinema.php?id=18593,0,0,
"Боги, наверное, сошли с ума",http://www.world-art.ru/cinema/cinema.php?id=16850,0,0,
Крупная рыба,http://www.world-art.ru/cinema/cinema.php?id=4980,0,0,
Дублёры,http://www.world-art.ru/cinema/cinema.php?id=6691,0,0,
Сочувствие госпоже Месть,http://www.world-art.ru/cinema/cinema.php?id=16566,0,0,
Остров собак,http://www.world-art.ru/cinema/cinema.php?id=72490,0,0,
Огнём и мечом,http://www.world-art.ru/cinema/cinema.php?id=19571,0,0,
Зеркало,http://www.world-art.ru/cinema/cinema.php?id=4738,0,0,
Тора! Тора! Тора!,http://www.world-art.ru/cinema/cinema.php?id=18372,0,0,
Зелёная книга,http://www.world-art.ru/cinema/cinema.php?id=79926,0,0,
"Добро пожаловать, или посторонним вход воспрещён",http://www.world-art.ru/cinema/cinema.php?id=3048,0,0,
Солярис,http://www.world-art.ru/cinema/cinema.php?id=5993,0,0,
Волки-перевёртыши,http://www.world-art.ru/cinema/cinema.php?id=83589,0,0,
"Свой среди чужих, чужой среди своих",http://www.world-art.ru/cinema/cinema.php?id=4303,0,0,
Дом. История путешествия,http://www.world-art.ru/cinema/cinema.php?id=26919,0,0,
Великий учитель Онидзука (фильм),http://www.world-art.ru/cinema/cinema.php?id=14046,0,0,
Сны Акиры Куросавы,http://www.world-art.ru/cinema/cinema.php?id=5622,0,0,
Брат якудзы,http://www.world-art.ru/cinema/cinema.php?id=17,0,0,
Казино,http://www.world-art.ru/cinema/cinema.php?id=5617,0,0,
Заводной апельсин,http://www.world-art.ru/cinema/cinema.php?id=5272,0,0,
Внутри себя я танцую,http://www.world-art.ru/cinema/cinema.php?id=23723,0,0,
